views,likes,set_id,iid1,iid2,iid3,iid4,iid5,iid6,iid7,iid8,color_1,color_2,color_3,color_4
41,6,199528453,104,237,49,259,57,223,0,0,white,gray,none,none
110,8,180801877,17,25,237,261,38,0,0,0,black,blue,none,none
534,45,121079123,21,25,2,49,318,55,57,0,black,none,none,none
258,113,215713358,4454,4459,4455,296,305,4463,335,0,black,yellow,none,none
1700,194,124554544,4,41,200,95,200,0,0,0,red,none,none,none
212,30,155044107,11,23,240,49,259,60,64,106,white,gray,none,none
894,252,211900581,4496,28,46,62,211,0,0,0,white,red,none,none
1017,129,183820184,11,24,29,261,57,318,0,0,black,green,none,none
1026,517,214367685,4,43,38,60,64,190,200,211,white,red,blue,yellow
2981,319,141762969,4,46,38,222,0,0,0,0,black,none,none,none
1598,533,215359025,4495,29,49,259,60,57,74,0,black,white,red,blue
2202,831,207466530,24,24,41,318,194,0,0,0,black,red,gray,none
734,142,164947204,4,237,43,35,1967,1967,11,11,white,black,blue,gray
772,32,113297135,4,24,43,55,200,198,95,4438,white,black,red,none
1117,393,214719751,5,24,43,37,58,0,0,0,black,none,none,none
417,245,216891636,315,315,9,46,259,196,95,0,black,brown,white,green
153,9,151219709,1967,65,318,104,237,49,0,0,white,black,gray,yellow
59,30,194753069,17,24,237,43,57,4438,227,0,white,red,none,none
190,76,214843529,11,236,9,43,38,64,62,0,white,red,none,none
2529,931,202944681,11,9,47,38,60,67,196,182,white,black,red,yellow
482,53,200266125,11,25,237,261,37,1967,51,0,black,brown,green,none
5910,1335,203212363,4,261,38,194,197,211,211,219,black,red,none,none
11603,2625,172030290,21,24,237,49,318,57,0,0,blue,gray,none,none
27,3,171398376,4,43,38,62,1967,200,0,0,black,red,gray,none
2019,67,129939616,4,46,37,106,64,65,222,77,black,gray,none,none
650,201,216824345,4496,28,261,37,64,55,57,2,white,black,gray,none
2423,707,213611984,17,236,237,261,37,0,0,0,white,none,none,none
1154,142,130918274,21,29,261,259,61,64,55,1967,black,white,blue,yellow
797,9,110231570,11,11,237,261,62,77,0,0,blue,none,none,none
2481,1141,212101174,21,29,41,65,1967,214,3336,177,white,black,blue,none
2228,882,212001253,3,261,38,106,61,93,23,67,white,black,red,blue
1055,355,216321516,4,236,43,43,38,190,200,0,black,brown,white,red
61,37,207294835,196,200,95,62,37,11,10,46,white,brown,red,blue
50,5,141663679,4,25,261,36,64,65,95,0,white,black,red,none
3930,235,105731628,318,1967,177,140,11,23,9,0,white,red,blue,none
10572,140,124785795,19,17,24,28,49,318,61,62,gray,none,none,none
212,84,216619949,17,25,29,46,318,64,0,0,white,none,none,none
101564,583,198664991,27,106,57,208,21,41,318,0,brown,none,none,none
34475,1626,182971300,17,240,261,261,37,64,95,0,black,brown,none,none
6140,376,154459852,104,8,8,245,46,38,62,57,white,orange,yellow,none
1197,250,208379850,4454,4458,4455,295,4463,303,335,316,black,none,none,none
2756,253,172787400,21,24,7,47,38,55,52,0,black,none,none,none
609,58,180972918,104,25,28,43,39,106,65,107,black,white,red,blue
1118,225,216854965,11,237,46,37,65,64,57,187,black,red,yellow,none
6,7,214030757,275,278,297,4520,4463,4523,0,0,black,red,gray,none
993,439,216325608,25,28,42,53,55,190,200,0,black,white,red,blue
46,5,211154979,4,43,37,65,61,64,106,57,white,black,none,none
1201,367,149955027,19,9,49,37,64,4240,0,0,purple,black,red,gray
26,11,199909804,11,11,8,8,8,1967,4448,0,white,none,none,none
484,66,216206958,24,41,37,64,64,96,74,316,black,red,orange,gray
27,16,212224664,19,332,62,57,199,186,93,197,white,yellow,none,none
51,7,155558644,11,23,263,55,57,58,200,95,black,red,blue,green
2156,716,216341919,4,43,64,51,93,4438,74,0,white,black,red,green
196,18,205648131,11,29,49,57,76,0,0,0,black,blue,gray,none
635,245,202838338,29,309,46,57,0,0,0,0,black,blue,gray,none
1702,505,215855841,17,24,8,261,318,107,65,200,black,white,red,yellow
133,17,134699753,11,29,42,106,55,223,0,0,black,blue,yellow,none
192,137,216857578,11,25,8,43,37,106,61,62,black,red,yellow,none
60,3,169238456,11,241,261,261,223,21,29,223,white,black,red,none
109,9,195949828,21,29,49,223,0,0,0,0,white,black,blue,none
402,42,182136611,18,104,9,46,36,61,196,197,black,brown,green,none
276,30,168109397,5,43,106,186,200,227,0,0,brown,black,white,red
1836,477,212715001,4,24,261,318,62,64,311,0,white,black,red,none
1168,272,184483862,11,4452,261,37,55,57,0,0,black,blue,none,none
530,63,176443244,11,2,29,46,106,62,1967,57,black,blue,yellow,none
75,3,214527741,341,4458,292,305,304,303,300,0,purple,red,none,none
1072,541,215644160,17,9,250,43,38,60,0,0,white,black,none,none
379,199,216675671,21,25,237,49,38,60,61,0,white,black,gray,none
12434,439,118244882,104,10,48,258,0,0,0,0,white,none,none,none
3747,195,138680723,4495,237,261,55,0,0,0,0,black,gray,none,none
404,4,108051608,200,196,196,194,197,200,200,200,white,brown,red,none
1451,92,195304254,4,46,52,52,95,0,0,0,white,none,none,none
582,250,199990108,104,28,46,37,0,0,0,0,white,black,none,none
58,21,192476192,196,200,95,62,64,258,21,23,black,red,gray,green
2875,502,214662742,51,52,51,19,261,37,55,57,black,none,none,none
2369,448,211684096,11,24,27,261,37,55,0,0,black,blue,gray,none
2358,163,117104919,4,236,42,36,64,1967,57,0,black,none,none,none
783,25,178259192,104,2,257,1967,227,199,200,0,brown,red,none,none
100,43,216971007,5,25,261,38,106,65,64,57,black,red,yellow,none
697,94,146338069,11,29,46,37,64,106,57,0,black,brown,gray,orange
294,79,214316103,4,43,37,64,65,67,0,0,white,black,red,yellow
44,60,214776540,200,55,61,40,4,43,0,0,black,white,red,blue
863,276,215600792,19,24,28,261,261,37,62,95,black,gray,none,none
6,2,209457075,19,241,49,65,59,1967,0,0,gray,none,none,none
156,65,216907057,19,310,43,36,0,0,0,0,red,blue,none,none
2170,693,206220784,11,253,41,259,64,1967,57,196,white,blue,yellow,gray
4142,158,125150419,104,236,28,245,46,62,55,0,white,black,none,none
1621,231,182797818,19,24,237,263,318,105,57,24,black,none,none,none
351,211,216733793,5,43,38,64,186,197,95,74,white,black,red,none
1781,515,207838754,17,25,47,37,0,0,0,0,white,black,gray,none
147,6,125261097,11,237,46,62,196,199,218,0,black,white,red,blue
572,138,216728973,11,236,237,43,37,201,0,0,black,red,none,none
185,35,165779667,11,237,261,64,1967,64,333,4479,white,none,none,none
49,16,202226137,11,25,240,49,259,0,0,0,white,none,none,none
42,14,193487465,17,8,46,318,61,64,0,0,black,red,blue,yellow
360,134,178779668,21,237,49,258,106,65,62,64,black,gray,none,none
5360,423,173355209,4,47,37,62,196,319,0,0,black,red,brown,none
202,7,112050586,11,25,46,37,61,200,29,222,black,red,blue,none
1416,360,206505787,4495,240,49,259,57,0,0,0,white,black,gray,none
328,188,215984060,2,2,47,37,64,200,141,0,white,black,red,none
1019,270,182528722,19,24,27,261,318,55,105,0,white,black,blue,none
2777,297,180279776,21,24,9,245,246,49,35,61,white,black,red,none
253,59,207594197,195,95,95,95,214,0,0,0,white,blue,orange,none
751,150,170114425,11,240,46,35,106,0,0,0,black,none,none,none
4511,350,215773537,18,19,27,262,37,61,211,0,black,red,none,none
39,5,157854455,104,29,43,38,61,1967,223,0,white,red,none,none
853,27,174440533,21,2,249,144,182,182,78,0,red,none,none,none
3481,489,188915299,2,27,41,36,1967,57,190,0,black,brown,white,blue
1373,374,206157463,177,3336,4242,65,1967,1967,58,0,black,red,brown,none
2226,782,212327484,4,29,36,46,0,0,0,0,blue,none,none,none
3248,825,214994384,19,9,42,36,40,105,57,4441,black,none,none,none
157,23,172803571,11,241,7,49,110,0,0,0,white,brown,none,none
79,28,212436016,297,297,297,4522,292,4522,0,0,white,black,green,none
228,9,157967285,11,25,237,264,62,0,0,0,black,blue,gray,none
983,514,214874087,4,43,37,106,0,0,0,0,white,yellow,none,none
481,21,112357799,19,24,9,43,77,0,0,0,white,none,none,none
119,5,109456606,3,11,24,240,261,261,62,106,white,black,none,none
124,33,214559868,24,240,49,36,61,62,55,275,black,red,green,gray
434,141,214981831,5,43,37,64,321,200,0,0,red,yellow,none,none
2045,51,132684416,11,11,7,261,37,55,0,0,white,black,brown,none
4931,211,111163196,21,237,49,37,106,57,227,0,brown,black,white,blue
11656,295,117417014,11,9,43,37,62,0,0,0,yellow,none,none,none
69,5,201310297,4,261,37,55,200,223,0,0,black,white,red,orange
216,69,216629945,17,261,37,106,57,74,0,0,white,blue,gray,none
3727,493,211211081,17,25,9,43,43,37,106,319,black,white,red,blue
23,3,187493124,4,49,318,62,64,1967,199,95,white,black,gray,purple
61,21,216277450,4,47,36,64,1967,51,197,93,white,red,blue,purple
690,104,178174244,4495,9,41,37,52,196,196,0,purple,black,red,none
2295,1369,198611407,5,46,37,106,64,1967,57,0,brown,black,white,orange
62,5,111469183,197,95,106,64,259,11,237,41,red,blue,yellow,none
5651,843,169439892,4,25,259,55,297,200,74,222,white,orange,green,none
897,235,195352042,25,1606,29,261,38,62,65,64,black,blue,gray,none
510,58,195949176,4496,2,246,50,65,57,208,207,white,none,none,none
1113,317,206173504,11,237,46,37,65,57,0,0,white,black,red,yellow
533,111,131846497,104,29,49,259,55,1967,0,0,white,brown,blue,none
3432,975,211584401,19,332,43,37,61,57,0,0,black,blue,none,none
1387,181,199543945,4,264,38,1967,200,0,0,0,red,none,none,none
186,50,210467891,19,237,261,77,0,0,0,0,blue,none,none,none
123,29,132423790,11,2,29,49,1967,227,78,0,black,blue,none,none
1142,268,216534502,11,11,28,41,41,37,37,187,red,none,none,none
70,6,192124906,11,237,49,62,186,200,0,0,black,red,none,none
69,41,210967299,197,199,199,95,222,222,1967,57,black,blue,none,none
599,41,178358939,4,24,43,38,64,0,0,0,red,green,none,none
18425,2090,200168076,11,25,332,43,62,55,57,193,black,gray,green,none
1104,125,107260011,5,43,318,106,0,0,0,0,white,black,none,none
65,17,216348211,19,237,2,261,49,106,64,62,white,blue,yellow,none
10083,2328,201366306,243,46,36,197,201,213,96,74,white,black,brown,none
18,4,146642641,104,241,261,106,65,0,0,0,white,black,yellow,none
343,139,216830805,19,25,241,41,261,37,316,177,brown,blue,gray,none
244,44,175152313,4,41,62,64,55,57,162,0,black,brown,blue,yellow
50,39,214362545,19,27,261,259,55,0,0,0,black,blue,none,none
14,5,215133474,227,58,62,64,37,6,6,11,white,black,blue,none
479,79,207737522,21,27,46,38,57,0,0,0,black,red,none,none
169,40,202863942,17,25,29,49,37,62,106,64,white,black,blue,none
6487,1272,171877406,104,18,46,318,201,200,95,0,red,none,none,none
759,277,216146339,4,21,261,38,40,106,61,57,black,gray,none,none
243,50,210481815,21,24,237,47,36,62,65,0,black,gray,none,none
229,12,213263489,4458,298,236,11,0,0,0,0,white,black,yellow,none
3440,316,216363219,49,1967,58,199,4495,25,29,61,white,blue,gray,none
53,5,201130707,4495,28,49,62,1967,55,4428,200,black,red,none,none
485,187,207513564,104,25,28,46,37,93,194,197,white,red,blue,none
490,55,127963660,11,25,29,261,197,200,0,0,brown,black,white,red
385,69,157521619,194,200,197,200,190,93,319,319,brown,white,red,blue
35,11,213199418,278,4456,297,4463,0,0,0,0,black,blue,none,none
8256,584,198670656,11,9,266,318,61,61,93,0,black,brown,green,none
2650,1161,214609751,24,9,245,43,38,39,62,65,black,none,none,none
550,179,215347817,4,24,266,37,57,0,0,0,black,red,none,none
187,56,216621762,104,25,42,318,64,189,95,74,black,white,red,blue
755,259,211340944,4,25,38,64,65,95,46,0,white,red,orange,yellow
54,25,207900744,11,25,237,47,57,0,0,0,white,black,none,none
1754,517,210366645,46,38,51,6,0,0,0,0,white,black,none,none
5,208,217014070,4,18,251,261,37,57,4438,0,gray,none,none,none
291,10,109215216,5,29,2,2,41,43,37,36,white,blue,none,none
291,74,208348355,21,237,265,36,0,0,0,0,black,none,none,none
6,2,182723664,11,236,9,2,261,37,64,61,white,black,none,none
3549,1957,216018030,4495,249,35,1967,58,192,162,140,white,brown,blue,none
209,11,152585499,196,184,195,194,195,0,0,0,red,none,none,none
18,6,149618374,21,237,4517,31,49,0,0,0,blue,none,none,none
3654,223,108810477,4,43,38,62,4455,51,0,0,black,none,none,none
835,142,163903465,11,25,28,46,62,65,57,0,black,blue,yellow,none
73,20,150712368,318,39,55,144,102,102,102,102,black,blue,gray,none
1199,467,194690749,9,47,38,200,95,102,0,0,black,red,yellow,none
212,107,216902047,24,241,259,60,55,105,57,261,black,blue,yellow,none
184,66,216902045,21,2,261,318,65,319,3336,316,brown,blue,yellow,none
900,213,207431672,6,43,38,62,58,0,0,0,blue,none,none,none
113,59,216947111,17,24,9,318,64,47,0,0,white,blue,none,none
1882,128,131131518,17,236,9,43,318,58,0,0,blue,none,none,none
4111,1192,190619360,4454,278,4456,297,305,4472,0,0,black,red,none,none
2447,977,216284210,4,24,43,38,65,57,0,0,white,black,none,none
3817,359,119508197,104,29,49,39,0,0,0,0,white,black,none,none
574,6,113392970,5,236,43,38,65,65,197,200,black,brown,white,red
1693,77,193257957,11,9,42,37,0,0,0,0,black,brown,none,none
863,257,212048293,21,24,9,265,37,64,95,0,white,black,red,none
1172,381,210082711,17,9,37,57,4438,0,0,0,white,black,gray,none
24,4,175893922,4,265,259,1967,58,51,0,0,black,yellow,none,none
430,10,197587682,246,245,262,37,200,184,200,4,white,brown,red,none
1498,521,199445300,29,47,259,64,57,0,0,0,red,none,none,none
268,7,184079130,21,237,261,64,65,65,62,1967,black,white,red,blue
50,19,211571060,194,319,93,95,95,95,204,97,white,red,blue,orange
693,249,216727612,4,24,261,261,40,196,4438,0,black,white,red,orange
1414,183,121450600,4,25,261,37,106,62,227,0,white,brown,black,none
49,29,214199995,21,25,25,29,42,259,55,57,black,blue,gray,none
164,99,216779533,11,236,261,38,240,0,0,0,black,red,none,none
372,76,190177802,4454,4458,4456,297,4472,299,335,0,black,none,none,none
2399,985,211216089,21,25,253,49,61,1967,4428,58,black,blue,none,none
158,16,121967671,28,43,37,40,61,62,64,57,black,white,red,yellow
1029,105,187412894,19,11,9,46,38,77,0,0,gray,none,none,none
2296,674,188947880,19,9,43,36,106,0,0,0,black,brown,none,none
177,9,164006521,19,7,46,37,106,62,64,25,white,black,blue,gray
288,74,209233531,278,297,4479,311,0,0,0,0,black,none,none,none
2800,531,207962094,11,25,28,43,36,64,106,62,black,brown,none,none
42,9,203439387,11,2,46,38,196,93,95,8,white,blue,yellow,none
39,25,208422044,126,4505,136,314,4254,24,24,55,white,none,none,none
7889,1359,215668328,5,46,37,64,200,95,0,0,red,none,none,none
6893,900,207741946,11,23,9,43,37,57,11,0,white,brown,none,none
25,4,196994147,104,25,237,49,259,64,57,200,white,black,red,blue
1774,174,156963535,19,237,46,37,62,57,200,0,brown,black,white,red
1800,100,149091014,4,46,37,62,65,0,0,0,gray,orange,none,none
171,90,216947260,4,245,43,40,61,57,196,197,black,brown,white,red
373,33,153418227,11,237,9,261,177,0,0,0,black,none,none,none
432,215,207229512,4496,240,69,49,259,55,51,55,white,none,none,none
1398,432,216733933,28,2,43,37,64,65,319,193,black,red,brown,yellow
33,5,204189492,11,1607,4518,46,36,55,57,171,white,black,gray,none
4930,1558,208912875,4495,8,69,49,259,57,213,311,white,black,gray,none
190,4,107214879,200,199,197,64,19,237,261,222,black,red,none,none
801,96,209955139,104,25,10,49,259,62,1967,196,white,gray,none,none
817,147,200046954,43,318,200,2,4479,78,0,0,black,red,none,none
2238,412,215591796,4,21,25,49,259,62,57,0,white,red,blue,none
1059,372,215076471,11,28,43,38,187,0,0,0,black,red,none,none
185,10,125588049,6,46,318,106,106,106,74,222,white,blue,yellow,none
442,35,183836187,25,28,261,318,64,64,65,0,black,red,blue,yellow
10071,1886,192880247,25,27,245,266,38,0,0,0,white,none,none,none
3097,169,127425958,104,10,46,77,0,0,0,0,black,none,none,none
682,144,208424293,17,9,265,37,0,0,0,0,white,black,none,none
388,187,216835270,4,4,43,43,62,57,200,95,black,red,none,none
147,8,193857735,341,4458,4456,4457,4464,4470,0,0,white,black,none,none
1044,213,165638058,104,29,47,38,62,106,0,0,white,red,purple,yellow
77666,1335,212847999,11,25,10,43,37,64,196,319,white,black,brown,none
3588,880,210761440,19,25,237,263,318,61,64,55,black,red,yellow,none
675,47,108974511,21,25,237,261,37,64,62,0,white,black,gray,none
2322,896,214806824,11,236,9,261,35,57,1967,187,white,blue,green,none
46,13,202329018,104,237,46,37,61,1967,0,0,black,red,blue,yellow
1289,353,212634761,5,46,38,64,95,200,0,0,red,none,none,none
4427,544,216536329,261,37,57,305,61,0,0,0,black,brown,none,none
897,94,168743380,4495,237,261,36,65,64,62,51,white,orange,black,gray
30,3,206935616,180,3336,3336,3336,140,316,182,316,red,yellow,none,none
1495,77,113310620,25,238,261,35,106,106,105,57,black,none,none,none
4011,163,114178211,28,2,2,43,36,106,64,57,black,gray,none,none
134,21,213543658,4,40,64,65,57,93,200,189,red,yellow,none,none
495,193,216599334,4,24,261,318,93,0,0,0,black,brown,none,none
1903,652,210863494,17,24,28,49,38,106,1967,0,white,black,gray,none
188,66,216781240,21,25,42,36,105,57,240,0,white,black,none,none
483,23,118368410,104,240,318,62,57,1967,201,199,blue,none,none,none
92,48,216963932,4,4,19,24,264,318,64,65,white,black,none,none
751,100,147554579,25,42,318,36,62,65,106,62,black,red,orange,none
802,225,193058429,4495,23,240,261,318,0,0,0,gray,none,none,none
2506,1015,211420028,4495,27,46,38,57,196,187,95,black,red,brown,none
3566,1148,208127799,104,29,49,318,62,57,201,0,white,black,green,none
1563,523,176137416,104,24,332,43,37,64,62,0,white,brown,gray,none
10290,932,182118422,3,25,261,261,37,55,57,62,black,brown,none,none
188,17,168585620,21,17,29,9,69,69,245,108,white,black,red,none
3085,1161,199178379,5,46,1967,110,0,0,0,0,black,gray,none,none
35,12,211131389,4454,4458,296,305,4462,300,4523,4525,white,black,blue,none
67,12,207637295,3,26,264,62,64,1967,57,0,white,black,none,none
506,144,215668851,21,266,38,57,200,200,74,2,white,black,red,gray
11372,232,114898562,11,25,241,261,38,194,200,201,black,red,brown,none
32,23,199377398,200,197,222,1967,64,35,43,184,red,none,none,none
177,54,155101336,18,104,29,46,37,57,58,200,black,red,blue,yellow
803,253,216707034,25,2,2,46,37,0,0,0,black,none,none,none
54,9,196962235,190,194,196,184,58,106,6,186,white,red,blue,yellow
14,3,203396149,104,25,237,55,4428,0,0,0,black,blue,none,none
2319,91,193207288,25,237,41,41,105,57,196,0,white,black,gray,none
3064,395,197195656,104,29,49,37,200,186,200,95,white,black,red,brown
35,7,208392052,4454,275,278,292,302,300,0,0,black,white,red,purple
388,111,215846569,4,43,36,64,200,0,0,0,white,red,none,none
564,24,106460632,4,25,46,35,0,0,0,0,black,red,none,none
1528,100,188440563,11,24,238,42,42,37,60,62,black,brown,white,blue
250,8,164855177,4496,29,49,227,186,209,0,0,red,blue,purple,yellow
65,6,109431463,11,29,41,58,0,0,0,0,red,none,none,none
104,69,216608508,11,241,46,37,200,2,0,0,black,red,none,none
2869,988,203811044,25,9,46,318,62,0,0,0,blue,none,none,none
14320,2016,212494831,19,237,261,318,64,105,57,53,white,red,none,none
1669,203,150672030,104,24,237,41,37,57,0,0,white,black,blue,none
919,247,205336988,18,11,2,37,1967,1967,187,186,black,brown,white,red
160,62,214511670,200,222,38,104,332,261,2,0,red,none,none,none
3635,79,104587309,5,43,318,200,95,0,0,0,white,black,red,none
76,19,206710259,11,8,49,106,64,949,0,0,black,none,none,none
73,28,210245290,19,24,28,318,65,297,200,0,black,red,green,none
2537,411,215646858,4,4,25,261,37,189,74,201,white,black,blue,gray
332,137,213847601,23,4452,42,259,65,105,1967,57,red,blue,yellow,none
2542,620,202996919,11,28,41,36,949,0,0,0,black,orange,none,none
173,32,212432250,6,43,37,62,0,0,0,0,white,green,red,yellow
223,3,148618769,18,104,237,261,61,0,0,0,white,black,blue,none
3538,1276,216482347,5,9,245,4435,177,311,43,0,black,red,none,none
36,19,151812740,5,47,318,106,0,0,0,0,white,none,none,none
92,14,178846990,19,26,241,69,29,49,53,74,black,red,blue,gray
1953,140,112870456,21,25,237,46,38,106,64,105,black,none,none,none
1459,435,198730427,17,240,47,47,318,61,60,57,white,black,none,none
1166,473,216030706,19,27,261,37,55,57,51,0,black,blue,none,none
849,37,115979349,25,27,2,49,0,0,0,0,blue,none,none,none
2361,361,194893100,11,25,27,261,37,64,0,0,white,black,none,none
614,258,209840333,19,237,261,318,62,57,51,199,brown,none,none,none
47075,3160,177890155,4,24,46,318,61,57,201,0,black,brown,white,blue
38,8,215001692,62,21,25,241,261,200,0,0,black,white,red,blue
240,98,207669390,2,8,47,37,106,64,57,201,black,red,gray,none
240,38,176975664,24,28,43,37,200,0,0,0,black,red,blue,none
1213,400,213732796,4,25,264,318,141,0,0,0,white,black,orange,none
131,40,216070851,21,2,9,251,263,259,64,62,white,black,red,none
807,28,111531509,18,21,237,42,38,38,61,74,black,blue,gray,none
66,22,211453964,21,29,49,62,0,0,0,0,black,gray,none,none
589,163,210274156,17,25,28,47,37,106,65,64,purple,black,gray,none
827,174,212141382,19,27,69,261,318,105,57,319,blue,none,none,none
155,17,185743652,11,11,29,264,53,0,0,0,white,black,none,none
837,67,169912988,3,46,37,106,65,62,64,222,white,red,blue,yellow
11589,354,102335870,24,43,37,194,4448,2,0,0,red,none,none,none
4307,870,208046442,21,24,49,259,57,78,0,0,gray,blue,green,none
236,231,216970271,46,38,62,64,201,95,74,5,black,red,none,none
1200,94,112933091,4495,237,49,36,227,0,0,0,white,black,blue,none
1340,570,202315828,5,46,37,65,196,196,200,222,purple,black,red,gray
34,5,158356111,11,241,261,37,259,1967,52,0,black,none,none,none
903,139,175899328,104,9,49,1967,57,78,0,0,black,none,none,none
53,8,204895876,4454,4458,297,305,304,4461,4463,303,white,black,gray,none
34,8,208435082,104,237,49,259,61,195,0,0,white,red,blue,none
1405,480,214021038,11,8,46,38,64,65,200,95,white,red,green,yellow
405,36,198150148,19,9,49,58,214,77,0,0,gray,yellow,none,none
3005,557,173195174,27,46,46,318,105,0,0,0,black,red,green,none
368,138,156027890,4,46,65,64,62,93,0,0,black,gray,none,none
3006,236,127149756,11,28,107,65,1967,278,340,0,white,yellow,none,none
22913,2755,206142541,4,21,47,259,1967,4428,211,3336,black,red,blue,gray
1261,494,212061554,5,4,36,43,0,0,0,0,black,none,none,none
80,45,216945427,5,24,43,38,65,64,1967,340,purple,black,gray,none
3141,1141,212707125,4,251,266,37,39,55,1967,196,black,red,none,none
6169,1317,200235783,46,38,106,57,0,0,0,0,black,gray,yellow,none
261,73,215548854,275,278,304,4463,4463,4472,300,4523,black,brown,yellow,none
125,10,105985421,104,9,43,58,0,0,0,0,black,red,none,none
336,104,202948407,200,196,196,319,222,0,0,0,red,none,none,none
183,75,210130340,201,93,201,200,200,200,202,202,red,orange,none,none
542,7,121601528,11,9,250,250,237,268,268,35,white,red,gray,none
1602,407,207870844,17,28,265,38,64,60,65,52,black,none,none,none
2469,248,139930044,243,261,318,106,64,62,0,0,black,gray,yellow,none
9229,520,214191996,19,25,237,261,261,318,196,0,white,blue,gray,none
126,22,213776504,4,41,64,62,55,177,0,0,black,brown,white,red
41,4,102970373,4495,27,262,259,106,106,65,1967,black,none,none,none
540,119,191561430,18,11,8,261,37,65,64,0,black,brown,white,red
1942,411,202575385,18,244,38,62,47,0,0,0,white,red,green,none
494,159,214590823,222,222,98,57,67,318,19,332,white,black,blue,green
479,186,216953167,11,244,49,38,58,57,95,205,white,red,blue,none
399,77,132760918,5,46,38,1967,200,197,222,95,black,red,none,none
19977,307,101752035,17,19,29,261,55,105,236,55,white,black,yellow,none
4885,530,183620791,4,24,43,43,318,62,106,95,black,red,yellow,none
145,37,152604051,11,244,261,259,62,106,106,61,white,black,red,none
3408,974,213890391,18,21,9,43,38,62,58,196,blue,gray,none,none
287,16,154290066,11,7,43,37,62,64,106,58,white,black,gray,brown
2267,382,194263646,2,8,2,43,37,35,0,0,black,red,none,none
117,13,182544778,6,46,318,64,65,0,0,0,white,none,none,none
329,133,205967929,17,9,47,37,62,57,0,0,black,red,blue,yellow
53,10,204115201,243,43,259,64,106,1967,55,105,red,blue,none,none
261,145,215893330,236,8,43,38,64,61,105,95,black,brown,red,blue
704,105,178880958,19,7,41,38,2,74,0,0,white,black,yellow,none
42,7,212534400,21,25,237,49,36,61,64,55,gray,none,none,none
684,297,198453268,236,27,43,38,61,2,0,0,black,red,yellow,none
119,57,206188989,21,237,41,36,57,0,0,0,white,none,none,none
14980,3139,193210065,104,332,43,318,57,25,0,0,black,blue,yellow,none
926,130,216477481,11,8,43,38,65,200,199,251,black,red,none,none
134071,542,182841653,19,24,240,42,42,259,55,57,black,gray,none,none
90,23,196141498,11,21,240,49,0,0,0,0,blue,none,none,none
284,11,171191072,11,46,37,61,4426,200,0,0,white,black,red,yellow
419,95,171981278,104,237,261,259,4240,0,0,0,white,black,none,none
240,43,193426884,11,25,237,261,106,65,65,64,white,black,blue,gray
3449,845,194101448,21,24,2,265,37,65,64,62,blue,none,none,none
4,72,217013540,25,2,47,37,62,64,64,57,purple,red,blue,yellow
2400,382,193796191,4495,27,261,318,57,0,0,0,white,blue,gray,none
68,25,216677922,17,310,49,37,64,55,0,0,black,gray,none,none
1598,289,198517343,21,237,49,37,106,65,64,57,black,red,gray,green
1024,306,212155789,19,25,237,41,38,57,209,78,white,black,orange,none
4099,1175,210037189,19,332,41,258,190,93,213,229,white,blue,yellow,none
7783,684,212426242,4,24,43,38,0,0,0,0,gray,none,none,none
3172,426,214874475,19,24,9,42,36,67,105,196,white,black,none,none
60,15,205160038,11,29,46,65,57,1967,1967,340,white,black,none,none
168,27,188390942,4,24,261,37,61,57,1967,197,white,black,blue,brown
602,694,216946086,11,29,47,37,65,64,106,57,black,brown,white,blue
81,78,216946085,11,8,43,38,64,209,0,0,green,yellow,none,none
937,269,196882163,17,29,43,36,64,0,0,0,white,orange,yellow,none
2005,332,151287844,222,222,38,11,24,9,266,98,white,black,gray,none
77,18,210769811,11,10,46,37,106,65,0,0,black,brown,white,red
4950,221,112156610,21,25,240,49,259,0,0,0,white,black,none,none
194,15,101687203,19,241,49,37,0,0,0,0,black,orange,none,none
2318,463,194780608,11,23,23,28,332,43,37,2,black,gray,none,none
14519,637,194601299,4,4496,49,259,106,71,110,0,white,red,yellow,none
412,28,106100312,19,25,241,8,261,36,64,62,black,none,none,none
424,14,125830040,11,8,261,106,222,74,196,0,white,brown,black,yellow
2981,108,111217138,6,46,38,64,0,0,0,0,gray,yellow,none,none
152,64,216844457,17,332,43,36,57,214,74,95,white,black,yellow,none
57,7,212812797,5,43,40,171,4435,177,0,0,black,red,none,none
4,94,217016926,17,9,47,37,64,61,1967,57,black,none,none,none
197,20,140829151,18,21,28,49,259,106,106,189,black,red,none,none
386,219,216877969,4,261,36,62,61,57,197,95,black,red,gray,none
223,151,216923841,229,229,228,105,57,36,104,24,black,none,none,none
2719,487,208324020,4,25,49,259,55,57,0,0,blue,gray,none,none
1046,29,106239920,21,25,240,261,106,62,55,4428,yellow,none,none,none
3733,1079,216067092,4,46,46,318,77,0,0,0,black,none,none,none
58,16,205185009,21,24,241,42,1967,57,0,0,brown,black,white,blue
2215,357,216475091,17,236,28,43,38,61,52,319,black,red,blue,gray
14484,1429,212706295,24,29,43,38,1967,57,193,93,white,blue,none,none
1081,562,215534820,4,43,38,61,0,0,0,0,black,red,none,none
445,71,198988913,194,196,197,199,93,0,0,0,black,none,none,none
664,202,216670053,19,24,9,42,37,77,0,0,black,gray,none,none
228,107,216198725,17,25,237,42,37,77,0,0,purple,red,none,none
1059,159,184784135,4,261,38,55,0,0,0,0,black,yellow,none,none
220,22,133111484,11,21,29,55,1967,4428,261,0,white,black,blue,none
